displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,Mode,SEQ 1,SEQ 2,SEQ 3
A01,Stab Saw,0,,0,,OFF,Synth Hard,,,1,Single,,,
A02,Synth Lana,0,,1,,Up,Arpeggio,,,2,Single,Panpot,Pitch,Step Length
A03,Evolution,0,,2,,OFF,Synth Pad,,,3,Single,LFO1 Freq,Patch 4 Int,EG2 Release
A04,Boost Bass,0,,3,,OFF,Synth Bass,,,4,Single,,,
A05,Dirty Sync,0,,4,,OFF,Synth Lead,,,5,Single,,,
A06,Zoop Mania,0,,5,,Down,Sequence,,,6,Dual,"T1| Patch 4 Int
T2| OSC2 Level","EG2 Decay
OSC1 Ctrl1","Pitch
Amp Level"
A07,Ice Field,0,,6,,OFF,Bell,,,7,Single,,,
A08,Lounge Organ,0,,7,,OFF,Keyboard,,,8,Single,,,
A09,MG Bass,0,,8,,OFF,Synth Bass,,,9,Single,,,
A10,GatesOfHell,0,,9,,OFF,Sequence,,,10,Single,Amp Level,None,None
A11,PWM Strings,0,,10,,OFF,Strings,,,11,Single,,,
A12,Turn Wheel,0,,11,,OFF,Synth Lead,,,12,Single,,,
A13,Synth Tp,0,,12,,OFF,Synth Brass,,,13,Single,,,
A14,DWGS WaveSeq,0,,13,,OFF,Wave Seq,,,14,Single,OSC1 Ctrl2,Panpot,None
A15,Drive Bass,0,,14,,OFF,Synth Bass,,,15,Single,,,
A16,Surrounded,0,,15,,OFF,S.E.,,,16,Single,LFO1 Freq,None,None
B01,Lazy Pitch,0,,16,,OFF,Synth Hard,,,17,Single,,,
B02,Stairs Pad,0,,17,,Alt1,Arpeggio,,,18,Dual,"T1| Panpot
T2| None","EG1 Int
None","Step Length
None"
B03,Silk Pad,0,,18,,OFF,Synth Pad,,,19,Single,,,
B04,Zap Bass,0,,19,,OFF,Synth Bass,,,20,Single,,,
B05,Uni Synth,0,,20,,OFF,Synth Lead,,,21,Dual,"T1 |
T2 |",,
B06,PsycheTrance,0,,21,,OFF,Sequence,,,22,Dual,"T1| Amp Level
T2| Amp Level","Pitch
Noise Level","OSC2 Semi
None"
B07,Deep Bell,0,,22,,OFF,Bell,,,23,Single,Patch1 Int,None,None
B08,Synth Clav,0,,23,,OFF,Keyboard,,,24,Single,,,
B09,Line Bass,0,,24,,OFF,Synth Bass,,,25,Single,,,
B10,SearchEngine,0,,25,,Trigger,Sequence,,,26,Dual,"T1| Step Length
T2| EG1 Decay","None
Noise Level","None
Cutoff"
B11,Voice /A/,0,,26,,OFF,Choir,,,27,Single,,,
B12,Far Horizon,0,,27,,OFF,Synth Lead,,,28,Dual,"T1 |
T2 |",,
B13,Glass,0,,28,,OFF,Synth Soft,,,29,Single,,,
B14,Random,0,,29,,OFF,Sequence,,,30,Single,Pitch,OSC1 Ctrl1,Cutoff
B15,Jami Bass,0,,30,,OFF,Synth Bass,,,31,Single,,,
B16,Loomy,0,,31,,OFF,S.E.,,,32,Single,,,
C01,Poly Line,0,,32,,OFF,Synth Hard,,,33,Single,,,
C02,Krazy Arpy 1,0,,33,,Random,Arpeggio,,,34,Single,,,
C03,Mod3&4 Squad,0,,34,,OFF,Synth Pad,,,35,Single,,,
C04,What D' Time,0,,35,,OFF,Synth Bass,,,36,Single,,,
C05,Healing,0,,36,,OFF,Synth Lead,,,37,Single,,,
C06,Auto Disco,0,,37,,Up,Sequence,,,38,Dual,"T1 |
T2 |",,
C07,Candy Box,0,,38,,OFF,Bell,,,39,Single,,,
C08,Vintage EP,0,,39,,OFF,Keyboard,,,40,Single,,,
