displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,yt-startsecond,yt-starttime,yt-endsecond,yt-link,creator
A.11,Mana Longing,0,,0,,,Favourites,,,1,399.68,0:06:39.68,418.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=399.68,Cuckoo
A.12,Bad Mahal,0,,1,,,Favourites,,,2,418.12,0:06:58.12,431.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=418.12,Cuckoo
A.13,Thunderfat,0,,2,,,Favourites,,,3,431.00,0:07:11,442.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=431.00,Cuckoo
A.14,Key Tramp,0,,3,,,Favourites,,,4,442.88,0:07:22.88,457.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=442.88,Cuckoo
A.15,Steel Pan,0,,4,,,Favourites,,,5,457.00,0:07:37,466.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=457.00,Cuckoo
A.16,Plinka Box,0,,5,,,Favourites,,,6,466.00,0:07:46,474.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=466.00,Cuckoo
A.17,Boston,0,,6,,,Favourites,,,7,474.12,0:07:54.12,483.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=474.12,Cuckoo
A.18,Silent Bella,0,,7,,,Favourites,,,8,483.60,0:08:03.60,499.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=483.60,Cuckoo
A.21,Bass Toe,0,,8,,,Bass,,,9,499.48,0:08:19.48,508.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=499.48,Cuckoo
A.22,Bassup,0,,9,,,Bass,,,10,508.28,0:08:28.28,517.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=508.28,Cuckoo
A.23,Boss Time,0,,10,,,Bass,,,11,517.60,0:08:37.60,526.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=517.60,Cuckoo
A.24,Bass mass,0,,11,,,Bass,,,12,526.96,0:08:46.96,534.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=526.96,Cuckoo
A.25,Synth Bass,0,,12,,,Bass,,,13,534.56,0:08:54.56,547.68,https://www.youtube.com/watch?v=UeiKJdvcync#t=534.56,Cuckoo
A.26,Damnit Bass,0,,13,,,Bass,,,14,547.68,0:09:07.68,553.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=547.68,Cuckoo
A.27,Basstic,0,,14,,,Bass,,,15,553.76,0:09:13.76,562.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=553.76,Cuckoo
A.28,Just Bass,0,,15,,,Bass,,,16,562.76,0:09:22.76,573.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=562.76,Cuckoo
A.31,Key Bolton,0,,16,,,Keyboards,,,17,573.44,0:09:33.44,583.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=573.44,Cuckoo
A.32,Key Some,0,,17,,,Keyboards,,,18,583.24,0:09:43.24,593.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=583.24,Cuckoo
A.33,Key Thump,0,,18,,,Keyboards,,,19,593.20,0:09:53.20,602.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=593.20,Cuckoo
A.34,Key Mute,0,,19,,,Keyboards,,,20,602.56,0:10:02.56,614.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=602.56,Cuckoo
A.35,End Piano,0,,20,,,Keyboards,,,21,614.92,0:10:14.92,626.32,https://www.youtube.com/watch?v=UeiKJdvcync#t=614.92,Cuckoo
A.36,Clavio,0,,21,,,Keyboards,,,22,626.32,0:10:26.32,634.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=626.32,Cuckoo
A.37,Sqeet Fox,0,,22,,,Keyboards,,,23,634.24,0:10:34.24,649.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=634.24,Cuckoo
A.38,Beardy Birds,0,,23,,,Keyboards,,,24,649.76,0:10:49.76,658.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=649.76,Cuckoo
A.41,Visconsin,0,,24,,,Sadventure,,,25,658.72,0:10:58.72,668.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=658.72,Cuckoo
A.42,Kitaro,0,,25,,,Sadventure,,,26,668.44,0:11:08.44,683.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=668.44,Cuckoo
A.43,SecretString,0,,26,,,Sadventure,,,27,683.04,0:11:23.04,694.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=683.04,Cuckoo
A.44,Hesa Hasse,0,,27,,,Sadventure,,,28,694.60,0:11:34.60,709.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=694.60,Cuckoo
A.45,Vibes,0,,28,,,Sadventure,,,29,709.04,0:11:49.04,720.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=709.04,Cuckoo
A.46,Setback,0,,29,,,Sadventure,,,30,720.96,0:12:00.96,731.52,https://www.youtube.com/watch?v=UeiKJdvcync#t=720.96,Cuckoo
A.47,Whistler,0,,30,,,Sadventure,,,31,731.52,0:12:11.52,738.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=731.52,Cuckoo
A.48,Grain Spray,0,,31,,,Sadventure,,,32,738.88,0:12:18.88,751.84,https://www.youtube.com/watch?v=UeiKJdvcync#t=738.88,Cuckoo
A.51,Bit Stars,0,,32,,,8-Bit,,,33,751.84,0:12:31.84,761.08,https://www.youtube.com/watch?v=UeiKJdvcync#t=751.84,Cuckoo
A.52,BlandSquare,0,,33,,,8-Bit,,,34,761.08,0:12:41.08,774.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=761.08,Cuckoo
A.53,NESquare,0,,34,,,8-Bit,,,35,774.28,0:12:54.28,789.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=774.28,Cuckoo
A.54,NESWIZ,0,,35,,,8-Bit,,,36,789.76,0:13:09.76,806.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=789.76,Cuckoo
A.55,PitchDZA,0,,36,,,8-Bit,,,37,806.28,0:13:26.28,818.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=806.28,Cuckoo
A.56,PitchPatch,0,,37,,,8-Bit,,,38,818.76,0:13:38.76,831.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=818.76,Cuckoo
