displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,bankname,Single/Layer,Tempo
A.11,Trancey Arpeg.,0,,0,,On,Arpeggio,,,1,TRANCE,Layer,138
A.12,Acid Saw Bass,0,,1,,On,Bass,,,2,TRANCE,Single,138
A.13,Unison Saw Lead,0,,2,,Off,Synth Lead,,,3,TRANCE,Single,138
A.14,Unison HPF+LPF,0,,3,,On,Synth Lead,,,4,TRANCE,Layer,138
A.15,Weepy Lead,0,,4,,Off,Synth Lead,,,5,TRANCE,Single,138
A.16,Slippy Pad,0,,5,,Off,Synth,,,6,TRANCE,Single,138
A.17,Sweep Poly Pad,0,,6,,Off,Synth,,,7,TRANCE,Single,138
A.18,Filter Strings,0,,7,,Off,Strings/Pad,,,8,TRANCE,Single,138
A.21,Auto House,0,,8,,On,Arpeggio,,,9,TECHNO/HOUSE,Layer,140
A.22,Burnin' Rave,0,,9,,On,Arpeggio,,,10,TECHNO/HOUSE,Layer,143
A.23,X-Mod Perc.,0,,10,,On,Arpeggio,,,11,TECHNO/HOUSE,Single,124
A.24,House Bass,0,,11,,Off,Bass,,,12,TECHNO/HOUSE,Single,128
A.25,Distorted Bass,0,,12,,Off,Bass,,,13,TECHNO/HOUSE,Single,130
A.26,Acid Square Bass,0,,13,,Off,Bass,,,14,TECHNO/HOUSE,Single,130
A.27,Sync Bass,0,,14,,Off,Bass,,,15,TECHNO/HOUSE,Single,130
A.28,Hard House Lead,0,,15,,Off,Synth Lead,,,16,TECHNO/HOUSE,Single,145
A.31,Sequence Pad,0,,16,,On,Arpeggio,,,17,ELECTRONICA,Layer,130
A.32,Bleeps Perc.,0,,17,,On,Arpeggio,,,18,ELECTRONICA,Single,94
A.33,Gated Sync Bass,0,,18,,Off,Bass,,,19,ELECTRONICA,Single,102
A.34,Flap & Sweep,0,,19,,On,Arpeggio,,,20,ELECTRONICA,Single,135
A.35,Reverse Lead,0,,20,,Off,Synth Lead,,,21,ELECTRONICA,Single,130
A.36,IDM Pad,0,,21,,Off,Strings/Pad,,,22,ELECTRONICA,Single,120
A.37,Flanger 5th Pad,0,,22,,Off,Strings/Pad,,,23,ELECTRONICA,Single,160
A.38,Voice /A/,0,,23,,Off,Strings/Pad,,,24,ELECTRONICA,Single,100
A.41,2 Step Bass,0,,24,,Off,Bass,,,25,D'n'B/BREAKS,Layer,136
A.42,Techstep Ring Bass,0,,25,,Off,Bass,,,26,D'n'B/BREAKS,Single,170
