displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,skip
A001,_19_19bs,1,,0,,,Bass,TODO,TODO,TODO,
A002,Acbassfm,1,,1,,,Bass,,1,2,
A003,AjaxPad,1,,2,,,Bass,,1,3,
A004,Ana_Akai,1,,3,,,Bass,,1,4,
A005,BallsBas,1,,4,,,Bass,,1,5,
A006,Basriser,1,,5,,,Bass,,1,6,
A007,Bassland,1,,6,,,Bass,,1,7,
A008,BassReso,1,,7,,,Bass,,1,8,
A009,Bassslow,1,,8,,,Bass,,1,9,
A010,BassSolo,1,,9,,,Bass,,1,10,
A011,BauchBs,1,,10,,,Bass,,1,11,
A012,BobsBall,1,,11,,,Bass,,1,12,
A013,BsSh101a,1,,12,,,Bass,,1,13,
A014,Citybass,1,,13,,,Bass,,1,14,
A015,Conbasso,1,,14,,,Bass,,1,15,
A016,Coupler,1,,15,,,Bass,,1,16,
A017,CptBlaub,1,,16,,,Bass,,1,17,
A018,CutoffBs,1,,17,,,Bass,,1,18,
A019,DeepBas1,1,,18,,,Bass,,1,19,
A020,DeepBas2,1,,19,,,Bass,,1,20,
A021,DeepBas3,1,,20,,,Bass,,1,21,
A022,DeepLine,1,,21,,,Bass,,1,22,
A023,DJAxyl,1,,22,,,Bass,,1,23,
A024,DukeBass,1,,23,,,Bass,,1,24,
A025,Ecu_Bass,1,,24,,,Bass,,1,25,
A026,FloorBs,,,25,,,Bass,,1,26,
A027,Formant1,,,26,,,Bass,,1,27,
A028,FunkyArp,,,27,,,Bass,,1,28,
A029,Gide303,,,28,,,Bass,,1,29,
A030,Glide303,,,29,,,Bass,,1,30,
A031,Glidebas,,,30,,,Bass,,1,31,
A032,Glider,,,31,,,Bass,,1,32,
A033,Hacke,,,32,,,Bass,,1,33,
A034,HighLow,,,33,,,Bass,,1,34,
A035,HipBass,,,34,,,Bass,,1,35,
A036,Kramer,,,35,,,Bass,,1,36,
A037,Line303a,,,36,,,Bass,,1,37,
A038,Line303b,0,,37,,,Bass,,1,38,
A039,Line303c,0,,38,,,Bass,,1,39,
A040,Line303d,0,,39,,,Bass,,1,40,
A041,Line303e,0,,40,,,Bass,,1,41,
A042,Line303f,0,,41,,,Bass,,1,42,
