displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange
001,Toxic Bass 1,94,64,0,,,,95,65,1
002,Sub Bass 1,94,64,1,,,,95,65,2
003,Backwards 1,94,64,2,,,,95,65,3
004,Fat as That1,94,64,3,,,,95,65,4
005,Saw+Sub Bs 1,94,64,4,,,,95,65,5
006,Saw Bass 1,94,64,5,,,,95,65,6
007,Pulse Bass 1,94,64,6,,,,95,65,7
008,ResoSaw Bs 1,94,64,7,,,,95,65,8
009,ResoSaw Bs 2,94,64,8,,,,95,65,9
010,AcidSaw SEQ1,94,64,9,,,,95,65,10
011,Psy Bass 1,94,64,10,,,,95,65,11
012,Dist TB Bs 1,94,64,11,,,,95,65,12
013,Sqr Bass 1,94,64,12,,,,95,65,13
014,Tri Bass 1,94,64,13,,,,95,65,14
015,Snake Glide1,94,64,14,,,,95,65,15
016,Soft Bass 1,94,64,15,,,,95,65,16
017,Tear Drop 1,94,64,16,,,,95,65,17
018,Slo worn 1,94,64,17,,,,95,65,18
019,Dist LFO Bs1,94,64,18,,,,95,65,19
020,ResoPulseBs1,94,64,19,,,,95,65,20
021,Squelchy 1,94,64,20,,,,95,65,21
022,DnB Wobbler1,94,64,21,,,,95,65,22
023,OffBeat Wob1,94,64,22,,,,95,65,23
024,Chilled Wob,94,64,23,,,,95,65,24
025,Bouncy Bass1,94,64,24,,,,95,65,25
026,PulseOfLife1,94,64,25,,,,95,65,26
027,PWM Base 1,94,64,26,,,,95,65,27
028,Pumper Bass1,94,64,27,,,,95,65,28
029,ClickerBass1,94,64,28,,,,95,65,29
030,Psy Bass 2,94,64,29,,,,95,65,30
031,HooverSuprt1,94,64,30,,,,95,65,31
032,Celoclip 1,94,64,31,,,,95,65,32
033,Tri Fall Bs1,94,64,32,,,,95,65,33
034,808 Bass 1,94,64,33,,,,95,65,34
035,House Bass 1,94,64,34,,,,95,65,35
036,Psy Bass 3,94,64,35,,,,95,65,36
037,Reel 1,94,64,36,,,,95,65,37
038,PortaSaw Ld1,94,64,37,,,,95,65,38
039,Porta Lead 1,94,64,38,,,,95,65,39
040,Analog Tp 1,94,64,39,,,,95,65,40
041,Tri Lead 1,94,64,40,,,,95,65,41
042,Sine Lead 1,94,64,41,,,,95,65,42
043,Saw Buzz 1,94,64,42,,,,95,65,43
044,Buzz Saw Ld1,94,64,43,,,,95,65,44
045,Laser Lead 1,94,64,44,,,,95,65,45
046,Saw & Per 1,94,64,45,,,,95,65,46
047,Insect 1,94,64,46,,,,95,65,47
048,Sqr SEQ 1,94,64,47,,,,95,65,48
049,ZipPhase 1,94,64,48,,,,95,65,49
050,Stinger 1,94,64,49,,,,95,65,50
051,3 Oh 3,94,64,50,,,,95,65,51
052,Sus Zap 1,94,64,51,,,,95,65,52
053,Bowouch 1,94,64,52,,,,95,65,53
054,Resocut 1,94,64,53,,,,95,65,54
055,LFO FX,94,64,54,,,,95,65,55
056,Fall Synth 1,94,64,55,,,,95,65,56
057,Twister 1,94,64,56,,,,95,65,57
058,Analog Kick1,94,64,57,,,,95,65,58
059,Zippers 1,94,64,58,,,,95,65,59
060,Zippers 2,94,64,59,,,,95,65,60
061,Zippers 3,94,64,60,,,,95,65,61
062,Siren Hell 1,94,64,61,,,,95,65,62
063,SirenFX/Mod1,94,64,62,,,,95,65,63
064,Init Tone,94,64,63,,,,95,65,64
