displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,designer-proximity,designer-name,designer-proximity,original-patchname
A001,Start Up,0,,0,,,Arp,1,,1,T,Tsching (Holger Steinbrink),7,Start Up       T
A002,70s Pad,0,,1,,,Pad,1,,2,T,Tsching (Holger Steinbrink),8,70s Pad        T
A003,Tschingeling,0,,2,,,Arp,1,,3,SCD,Something Completely Different (Boele Gerkes),1,Tschingeling SCD
A004,XT Close,0,,3,,,Keys,1,,4,SCD,Something Completely Different (Boele Gerkes),5,XT Close     SCD
A005,Digital JP4,0,,4,,,Arp,1,,5,SCD,Something Completely Different (Boele Gerkes),2,Digital JP4  SCD
A006,BloChoir,0,,5,,,Pad,1,,6,T,Tsching (Holger Steinbrink),7,BloChoir       T
A007,Sync Different,0,,6,,,Lead,1,,7,T,Tsching (Holger Steinbrink),1,Sync Different T
A008,TearsFromComb,0,,7,,,Keys,1,,8,SCD,Something Completely Different (Boele Gerkes),0,TearsFromCombSCD
A009,Click Bass,0,,8,,,Bass,1,,9,T,Tsching (Holger Steinbrink),5,Click Bass     T
A010,Myst 6,0,,9,,,Atmo,1,,10,T,Tsching (Holger Steinbrink),9,Myst 6         T
A011,Sander Lead,0,,10,,,Lead,1,,11,T,Tsching (Holger Steinbrink),4,Sander Lead    T
A012,Bladerunner,0,,11,,,Poly,1,,12,T,Tsching (Holger Steinbrink),4,Bladerunner    T
A013,BloStrings,0,,12,,,Pad,1,,13,T,Tsching (Holger Steinbrink),5,BloStrings     T
A014,ArpDelayLFO?,0,,13,,,Arp,1,,14,SCD,Something Completely Different (Boele Gerkes),1,ArpDelayLFO? SCD
A015,Dahlbeck Bass,0,,14,,,Bass,1,,15,T,Tsching (Holger Steinbrink),2,Dahlbeck Bass  T
A016,CopiedByLargo,0,,15,,,Atmo,1,,16,T,Tsching (Holger Steinbrink),2,CopiedByLargo  T
A017,JustResonance,0,,16,,,Arp,1,,17,SCD,Something Completely Different (Boele Gerkes),0,JustResonanceSCD
A018,IntensiveCare,0,,17,,,Poly,1,,18,SCD,Something Completely Different (Boele Gerkes),0,IntensiveCareSCD
A019,Planet Ice,0,,18,,,Pad,1,,19,T,Tsching (Holger Steinbrink),5,Planet Ice     T
A020,Pad Brown,0,,19,,,Pad,1,,20,T,Tsching (Holger Steinbrink),6,Pad Brown      T
A021,Rasenflaeche,0,,20,,,Pad,1,,21,T,Tsching (Holger Steinbrink),3,Rasenflaeche   T
A022,PWM<->SWM,0,,21,,,Pad,1,,22,SCD,Something Completely Different (Boele Gerkes),4,PWM<->SWM    SCD
A023,SuperPulse,0,,22,,,Pad,1,,23,SCD,Something Completely Different (Boele Gerkes),3,SuperPulse   SCD
A024,Eyes Wide Open,0,,23,,,Pad,1,,24,T,Tsching (Holger Steinbrink),1,Eyes Wide Open T
A025,BriteWhitePad,0,,24,,,Pad,1,,25,T,Tsching (Holger Steinbrink),2,BriteWhitePad  T
A026,Chronos,0,,25,,,Pad,1,,26,T,Tsching (Holger Steinbrink),8,Chronos        T
A027,Ambientity,0,,26,,,Pad,1,,27,T,Tsching (Holger Steinbrink),5,Ambientity     T
A028,Lothlorien,0,,27,,,Pad,1,,28,T,Tsching (Holger Steinbrink),5,Lothlorien     T
A029,Boelissimo,0,,28,,,Pad,1,,29,T,Tsching (Holger Steinbrink),5,Boelissimo     T
A030,Inglorious Pad,0,,29,,,Pad,1,,30,T,Tsching (Holger Steinbrink),1,Inglorious Pad T
A031,PitchShifter,0,,30,,,Pad,1,,31,SCD,Something Completely Different (Boele Gerkes),1,PitchShifter SCD
A032,X-File Pad,0,,31,,,Pad,1,,32,T,Tsching (Holger Steinbrink),5,X-File Pad     T
A033,AmbienTable,0,,32,,,Pad,1,,33,T,Tsching (Holger Steinbrink),4,AmbienTable    T
A034,ShortWave,0,,33,,,Pad,1,,34,T,Tsching (Holger Steinbrink),6,ShortWave      T
A035,CS100,0,,34,,,Pad,1,,35,T,Tsching (Holger Steinbrink),9,CS100          T
A036,Slightly Pad,0,,35,,,Pad,1,,36,T,Tsching (Holger Steinbrink),3,Slightly Pad   T
A037,FlyingDutchman,0,,36,,,Pad,1,,37,T,Tsching (Holger Steinbrink),1,FlyingDutchman T
A038,BoelesBrass,0,,37,,,Pad,1,,38,SCD,Something Completely Different (Boele Gerkes),1,BoelesBrass SCD
A039,Phase 5,0,,38,,,Pad,1,,39,T,Tsching (Holger Steinbrink),8,Phase 5        T
A040,RingCon,0,,39,,,Pad,1,,40,T,Tsching (Holger Steinbrink),8,RingCon        T
A041,LeadING,0,,40,,,Lead,1,,41,T,Tsching (Holger Steinbrink),8,LeadING        T
A042,Chord Hose,0,,41,,,Lead,1,,42,T,Tsching (Holger Steinbrink),5,Chord Hose     T
A043,Chordalis,0,,42,,,Lead,1,,43,T,Tsching (Holger Steinbrink),6,Chordalis      T
A044,Deadmau5 Chord,0,,43,,,Lead,1,,44,T,Tsching (Holger Steinbrink),1,Deadmau5 Chord T
A045,JigSaw,0,,44,,,Lead,1,,45,T,Tsching (Holger Steinbrink),9,JigSaw         T
A046,Fat Pig,0,,45,,,Lead,1,,46,T,Tsching (Holger Steinbrink),8,Fat Pig        T
A047,Leadgut,0,,46,,,Lead,1,,47,T,Tsching (Holger Steinbrink),8,Leadgut        T
A048,Crying Lead,0,,47,,,Lead,1,,48,T,Tsching (Holger Steinbrink),4,Crying Lead    T
A049,AggLead,0,,48,,,Lead,1,,49,T,Tsching (Holger Steinbrink),8,AggLead        T
A050,Overdrive,0,,49,,,Lead,1,,50,T,Tsching (Holger Steinbrink),6,Overdrive      T
A051,Lead Keen,0,,50,,,Lead,1,,51,T,Tsching (Holger Steinbrink),6,Lead Keen      T
A052,Van Doorn,0,,51,,,Lead,1,,52,T,Tsching (Holger Steinbrink),6,Van Doorn      T
A053,Gummi Lead,0,,52,,,Lead,1,,53,T,Tsching (Holger Steinbrink),5,Gummi Lead     T
A054,Static Leads,0,,53,,,Lead,1,,54,T,Tsching (Holger Steinbrink),3,Static Leads   T
A055,Sync By FM,0,,54,,,Lead,1,,55,SCD,Something Completely Different (Boele Gerkes),3,Sync By FM   SCD
A056,Enganged,0,,55,,,Lead,1,,56,T,Tsching (Holger Steinbrink),7,Enganged       T
A057,Hummer,0,,56,,,Bass,1,,57,T,Tsching (Holger Steinbrink),9,Hummer         T
A058,Old School,0,,57,,,Lead,1,,58,T,Tsching (Holger Steinbrink),5,Old School     T
A059,Handjob,0,,58,,,Lead,1,,59,T,Tsching (Holger Steinbrink),8,Handjob        T
A060,Slipping Lead,0,,59,,,Lead,1,,60,T,Tsching (Holger Steinbrink),2,Slipping Lead  T
A061,Glidelis,0,,60,,,Mono,1,,61,SCD,Something Completely Different (Boele Gerkes),5,Glidelis     SCD
A062,Rave On,0,,61,,,Lead,1,,62,T,Tsching (Holger Steinbrink),8,Rave On        T
A063,SynChaos,0,,62,,,Lead,1,,63,T,Tsching (Holger Steinbrink),7,SynChaos       T
A064,Airy Lead,0,,63,,,Lead,1,,64,T,Tsching (Holger Steinbrink),6,Airy Lead      T
A065,Airy Lead 2,0,,64,,,Lead,1,,65,T,Tsching (Holger Steinbrink),4,Airy Lead 2    T
A066,Tiestofeld,0,,65,,,Arp,1,,66,SCD,Something Completely Different (Boele Gerkes),3,Tiestofeld   SCD
A067,ARPollinaris,0,,66,,,Arp,1,,67,T,Tsching (Holger Steinbrink),3,ARPollinaris   T
A068,Driving Line,0,,67,,,Arp,1,,68,T,Tsching (Holger Steinbrink),3,Driving Line   T
A069,TD 2010,0,,68,,,Arp,1,,69,SCD,Something Completely Different (Boele Gerkes),6,TD 2010      SCD
A070,Sawmodulation,0,,69,,,Arp,1,,70,SCD,Something Completely Different (Boele Gerkes),0,SawmodulationSCD
A071,Bram A.,0,,70,,,Arp,1,,71,SCD,Something Completely Different (Boele Gerkes),6,Bram A.      SCD
