short,name,vendors
H2SCD,Hans Herooms & Something Completely Different (Boele Gerkes),Waldorf
DocT,Stefan Trippler,Waldorf
PROX,ProXenos,Waldorf
IDS,Ian Sherwen,Waldorf
SAW,Steven Wartofsky,Waldorf
SCD,Something Completely Different (Boele Gerkes),Waldorf
scr,"Davie ""Scarecrow"" Aaron",Waldorf
SGR,Stephen G. Rivera,Waldorf
TEK,"Till ""QWave"" Kopper",Waldorf
THK,Tommy Kircher,Waldorf
ugh,Uwe G. Hoenig,Waldorf
WMF,Wolfram Franke,Waldorf
W&W,Wolfgang & Wolfram,WaldorfAG,"Achim ""ASSI"" Gratz",Waldorf
AT,Unknown (AT),Waldorf
BC,Ben Crosland,Access
CA,Unknown (CA),Waldorf
CC,Christian Claycomb,Waldorf
CC,Claudio Cardone,Access
DF,Die Fledermaus,Waldorf
DK,Dirk Krause,Waldorf
DN,Drew Neumann,Waldorf
EY,Eric Young,Waldorf
GB,Giovanni ? (Italian part time product specialist),Waldorf
GM,Dr. Georg Mueller,Waldorf
H2,Hans Herooms,Waldorf
HH,Hein Horn,Waldorf
HM,Hubertus Maas,Waldorf
HS,Howard Scarr,"Access,u-he,Waldorf"
JF,Juergen Fornoff,Waldorf
jh,Joerg Huettner,"Access,Waldorf"
JL,Juho Lepisto,"Access,Waldorf"
JS,HJ Scheffler,Access
KA,Kim A° ke,Waldorf
MH,Mikael Hansson,Access
MK,Matthias Klag,Waldorf
M@,Matt Picone,Access
MS,Manuel Schleis,Access
PD,Peter Dyer,Moog
PG,Peter Gorges,Waldorf
PS,Peter Schelfhout,Access
RJ,Unknown (RJ),Waldorf
RL,Unknown (RL),Waldorf
RP,Rob Papen,Access
RS,Robert Solheim,Waldorf
RW,Rauschwerk,u-he
RZ,Unknown (RZ),Waldorf
SK,Unknown (SK),Waldorf
SM,Shin Murayama,Access
Sp,Johan Spang,Waldorf
ST,Unknown (ST),Waldorf
SV,Cosmic Dreamer,Access
SV,Sander van der Veer,Waldorf
TK,Unknown (TK),Waldorf
TM,Tobias Menguser,Waldorf
WD,Wolfgang Dueren,Waldorf
XM,Xmorph/Icon Of Coil,Access
zs,Zack Steinkamp,Access
J,Joerg Schaaf,Access
K,Unknown (K),Access
M,Matthew Stolley,Access
S,Stefan Stenzel,Waldorf
T,Tsching (Holger Steinbrink),Waldorf
