patchnumber,yt-startsecond,yt-starttime,yt-endsecond,yt-link
A11,399.68,0:06:39.68,418.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=399.68
A12,418.12,0:06:58.12,431.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=418.12
A13,431.00,0:07:11,442.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=431.00
A14,442.88,0:07:22.88,457.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=442.88
A15,457.00,0:07:37,466.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=457.00
A16,466.00,0:07:46,474.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=466.00
A17,474.12,0:07:54.12,483.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=474.12
A18,483.60,0:08:03.60,499.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=483.60
A21,499.48,0:08:19.48,508.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=499.48
A22,508.28,0:08:28.28,517.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=508.28
A23,517.60,0:08:37.60,526.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=517.60
A24,526.96,0:08:46.96,534.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=526.96
A25,534.56,0:08:54.56,547.68,https://www.youtube.com/watch?v=UeiKJdvcync#t=534.56
A26,547.68,0:09:07.68,553.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=547.68
A27,553.76,0:09:13.76,562.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=553.76
A28,562.76,0:09:22.76,573.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=562.76
A31,573.44,0:09:33.44,583.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=573.44
A32,583.24,0:09:43.24,593.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=583.24
A33,593.20,0:09:53.20,602.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=593.20
A34,602.56,0:10:02.56,614.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=602.56
A35,614.92,0:10:14.92,626.32,https://www.youtube.com/watch?v=UeiKJdvcync#t=614.92
A36,626.32,0:10:26.32,634.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=626.32
A37,634.24,0:10:34.24,649.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=634.24
A38,649.76,0:10:49.76,658.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=649.76
A41,658.72,0:10:58.72,668.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=658.72
A42,668.44,0:11:08.44,683.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=668.44
A43,683.04,0:11:23.04,694.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=683.04
A44,694.60,0:11:34.60,709.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=694.60
A45,709.04,0:11:49.04,720.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=709.04
A46,720.96,0:12:00.96,731.52,https://www.youtube.com/watch?v=UeiKJdvcync#t=720.96
A47,731.52,0:12:11.52,738.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=731.52
A48,738.88,0:12:18.88,751.84,https://www.youtube.com/watch?v=UeiKJdvcync#t=738.88
A51,751.84,0:12:31.84,761.08,https://www.youtube.com/watch?v=UeiKJdvcync#t=751.84
A52,761.08,0:12:41.08,774.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=761.08
A53,774.28,0:12:54.28,789.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=774.28
A54,789.76,0:13:09.76,806.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=789.76
A55,806.28,0:13:26.28,818.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=806.28
A56,818.76,0:13:38.76,831.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=818.76
A57,831.60,0:13:51.60,843.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=831.60
A58,843.48,0:14:03.48,854.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=843.48
A61,854.72,0:14:14.72,870.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=854.72
A62,870.72,0:14:30.72,883.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=870.72
A63,883.48,0:14:43.48,897.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=883.48
A64,897.60,0:14:57.60,908.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=897.60
A65,908.96,0:15:08.96,919.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=908.96
A66,919.88,0:15:19.88,936.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=919.88
A67,936.92,0:15:36.92,953.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=936.92
A68,953.88,0:15:53.88,967.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=953.88
A71,967.20,0:16:07.20,986.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=967.20
A72,986.96,0:16:26.96,994.32,https://www.youtube.com/watch?v=UeiKJdvcync#t=986.96
A73,994.32,0:16:34.32,1003.40,https://www.youtube.com/watch?v=UeiKJdvcync#t=994.32
A74,1003.40,0:16:43.40,1019.32,https://www.youtube.com/watch?v=UeiKJdvcync#t=1003.40
A75,1019.32,0:16:59.32,1038.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1019.32
A76,1038.00,0:17:18,1053.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=1038.00
A77,1053.72,0:17:33.72,1070.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1053.72
A78,1070.00,0:17:50,1094.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=1070.00
A81,1094.28,0:18:14.28,1105.40,https://www.youtube.com/watch?v=UeiKJdvcync#t=1094.28
A82,1105.40,0:18:25.40,1111.64,https://www.youtube.com/watch?v=UeiKJdvcync#t=1105.40
A83,1111.64,0:18:31.64,1119.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=1111.64
A84,1119.76,0:18:39.76,1132.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=1119.76
A85,1132.88,0:18:52.88,1143.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=1132.88
A86,1143.04,0:19:03.04,1152.84,https://www.youtube.com/watch?v=UeiKJdvcync#t=1143.04
A87,1152.84,0:19:12.84,1162.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=1152.84
A88,1162.28,0:19:22.28,1173.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=1162.28
B11,1173.92,0:19:33.92,1188.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1173.92
B12,1188.00,0:19:48,1194.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=1188.00
